titolare	domanda_id	database
OFFICINA MECCANICA SESTESE S.A.S. DI ROSSI CRISTINA E C. AD ARONA NOVARA	2902	itapat_1972_4
SORGENTE DEI MOBILI S.N.C. DIANGELO MERONI	858	itapat_1990_18
PESCE GIOVANNI E GIORGIO AD ARQUATA SCRIVIA ALESSANDRIA	440	itapat_1984_1
FONTANA MARIO	983	itapat_1990_115
THERMOROSSI DI ROSSI GIOVANNI BATTISTA E BRUNO S.N.C. AD ARSIERO VICENZA	6869	itapat_1969_3
THERMOROSSI DI ROSSI GIOVANNI BATTISTA E BRUNO S.N.C. AD ARSIERO VICENZA ZONA GRUMOLO	2363	itapat_1970_1
THERMOROSSI DI ROSSI GIOVANNI BATTISTA E BRUNO S.N.C. AD ARSIERO VICENZA ZONA GRUMOLO	3060	itapat_1971_1
JUNIOR STAMPI SNC DI MORETTI GIORGIO & C.	174	itapat_1990_134
PRETTO BRUNO CAZZANIGA ERMINIO AD ARZIGNANO VICENZA	1346	itapat_1987_1
PRETTO BRUNO A ARZIGNANO VICENZA RIZZI GIOVANNI A PARONA VALPOLICELLA VERONA BROGGIO ERASMO A ZEVIO VERONA	3205	itapat_1984_3
RICCI ENRICO A S.BENEDETTO DEL TRONTO ASCOLI PICENO	2679	itapat_1968_1
GAGLIARDI GIANFRANCO A SAN BENDETTO DEL TRONTO ASCOLI PICENO	420	itapat_1988_2
RAIMONDI PAOLO	124	itapat_1990_141
GIORGI GIORGIO	891	itapat_1990_128
ROMANO MASSIMO	244	itapat_1990_67
DI FILIPPO VINCENZO NESPECA LUIGINICOLAI GIOVANNI A ASCOLI PICENO	6	itapat_1982_1
MARIOTTI PIETRO	400	itapat_1990_3
CALVARESI PIETRO A ASCOLI PICENO	1324	itapat_1980_1
ROMANO MASSIMO A ASCOLI PICENO	4352	itapat_1981_2
CASTELLI GUIDO AD ASOLA, MANTOVA	5627	itapat_1973_3
MOROCUTTI GIORGIO	384	itapat_1990_70
DE FAVERI TRON ANTONIO LEONILDO AD ASOLO, VICENZA	398	itapat_1972_2
MOROCUTTI GIORGIO	492	itapat_1990_70
MOROCUTTI GIORGIO	491	itapat_1990_70
BERTOGLIO GIOVANNI ASSAGO (MI)	7	itapat_1986_1
ING. LUIGI CONTI VECCHI S.P.A.	457	itapat_1990_82
PETTIROSSI ALBERTO	825	itapat_1990_150
PETTIROSSI ALBERTO	644	itapat_1990_5
GALLI MASSIMO	793	itapat_1990_31
ELIA LUCIANO AD ASTI E TESTA GIUSEPPE A GRANA ASTI	112	itapat_1981_2
GIANOTTI GIOVANNI ALDO	524	itapat_1990_63
MURATORE LORENZO A ASTI	4357	itapat_1969_2
